时间,商品名称,库存变化,单笔销量
2026-05-01 18:56:24,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 18:56:41,旧【线下签售】,初始库存：99999,0
2026-05-01 19:01:37,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:15,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:33,旧【线下签售】,初始库存：99999,0
2026-05-01 19:10:02,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:10:19,旧【线下签售】,初始库存：99999,0
2026-05-01 19:44:40,旧【线下签售】前2000张,99999 -> 99998,1
2026-05-01 21:16:11,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:16:31,旧【线下签售】,初始库存：99999,0
2026-05-01 21:18:32,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:18:47,旧【线下签售】,初始库存：99999,0
2026-05-01 21:45:58,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:46:12,旧【线下签售】,初始库存：99999,0
2026-05-01 21:54:55,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:55:27,旧【线下签售】,初始库存：99999,0
2026-05-01 23:19:40,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 23:19:57,旧【线下签售】,初始库存：99999,0
2026-05-02 02:08:33,旧【线下签售】前2000张,99998 -> 99898,100
2026-05-02 02:08:59,旧【线下签售】前2000张,99898 -> 99998,-100
2026-05-02 04:49:42,旧【线下签售】前2000张,99998 -> 99898,100
2026-05-02 04:50:06,旧【线下签售】前2000张,99898 -> 99998,-100
2026-05-02 14:05:09,旧【线下签售】前2000张,99998 -> 99716,282
2026-05-02 14:07:36,旧【线下签售】前2000张,初始库存：99716,0
2026-05-02 14:07:50,旧【线下签售】,初始库存：99999,0
