时间,商品名称,库存变化,单笔销量
2026-05-01 18:56:39,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 18:56:51,旧【线下签售】,初始库存：99999,0
2026-05-01 19:02:31,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:43,旧【线下签售】,初始库存：99999,0
2026-05-01 19:10:17,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:10:30,旧【线下签售】,初始库存：99999,0
2026-05-01 21:16:29,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:16:41,旧【线下签售】,初始库存：99999,0
2026-05-01 21:18:42,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:19:00,旧【线下签售】,初始库存：99999,0
2026-05-01 21:46:10,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:46:32,旧【线下签售】,初始库存：99999,0
2026-05-01 21:55:25,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:55:45,旧【线下签售】,初始库存：99999,0
2026-05-01 23:19:54,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 23:20:15,旧【线下签售】,初始库存：99999,0
2026-05-02 14:05:19,旧【线下签售】前2000张,99999 -> 99867,132
2026-05-02 14:07:48,旧【线下签售】前2000张,初始库存：99867,0
2026-05-02 14:08:03,旧【线下签售】,初始库存：99999,0
2026-05-02 14:09:14,旧【线下签售】前2000张,初始库存：99867,0
2026-05-02 14:09:31,旧【线下签售】,初始库存：99999,0
2026-05-02 18:58:42,旧【线下签售】前2000张,初始库存：99867,0
2026-05-02 18:58:55,旧【线下签售】,初始库存：99999,0
2026-05-02 21:48:04,旧【线下签售】前2000张,初始库存：99867,0
2026-05-02 21:48:22,旧【线下签售】,初始库存：99999,0
2026-05-03 13:50:18,旧【线下签售】前2000张,初始库存：99867,0
2026-05-03 13:50:30,旧【线下签售】,初始库存：99999,0
2026-05-03 15:41:44,旧【线下签售】前2000张,初始库存：99867,0
2026-05-03 15:42:01,旧【线下签售】,初始库存：99999,0
2026-05-03 17:09:37,旧【线下签售】前2000张,初始库存：99867,0
2026-05-03 17:10:17,旧【线下签售】,初始库存：99999,0
2026-05-03 20:48:39,旧【线下签售】前2000张,初始库存：99867,0
2026-05-03 20:48:54,旧【线下签售】,初始库存：99999,0
2026-05-03 21:19:54,旧【线下签售】前2000张,初始库存：99867,0
2026-05-03 21:20:10,旧【线下签售】,初始库存：99999,0
2026-05-04 00:16:30,旧【线下签售】前2000张,初始库存：99867,0
2026-05-04 00:16:51,旧【线下签售】,初始库存：99999,0
2026-05-04 14:27:06,旧【线下签售】前2000张,初始库存：99867,0
2026-05-04 14:27:25,旧【线下签售】,初始库存：99999,0
