时间,商品名称,库存变化,单笔销量
2026-05-01 18:56:33,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 18:56:47,旧【线下签售】,初始库存：99999,0
2026-05-01 19:02:11,新【线下签售】,初始库存：16320,0
2026-05-01 19:03:37,新【线下签售】,初始库存：448,0
2026-05-01 19:04:13,新【线下签售】,448 -> 330,118
2026-05-01 21:16:25,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:16:37,旧【线下签售】,初始库存：99999,0
2026-05-01 21:18:38,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:18:55,旧【线下签售】,初始库存：99999,0
2026-05-01 21:46:05,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:46:27,旧【线下签售】,初始库存：99999,0
2026-05-01 21:55:14,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 21:55:35,旧【线下签售】,初始库存：99999,0
2026-05-01 23:11:58,旧【线下签售】前2000张,99999 -> 99927,72
2026-05-01 23:19:48,旧【线下签售】前2000张,初始库存：99927,0
2026-05-01 23:20:05,旧【线下签售】,初始库存：99999,0
2026-05-01 23:42:06,旧【线下签售】前2000张,99927 -> 99999,-72
2026-05-02 14:05:16,旧【线下签售】前2000张,99999 -> 99843,156
2026-05-02 14:07:43,旧【线下签售】前2000张,初始库存：99843,0
2026-05-02 14:07:58,旧【线下签售】,初始库存：99999,0
2026-05-02 14:09:09,旧【线下签售】前2000张,初始库存：99843,0
2026-05-02 14:09:26,旧【线下签售】,初始库存：99999,0
2026-05-02 14:26:05,旧【线下签售】前2000张,99843 -> 99915,-72
2026-05-02 15:00:07,旧【线下签售】前2000张,99915 -> 99843,72
2026-05-02 18:18:27,旧【线下签售】前2000张,99843 -> 99812,31
2026-05-02 18:18:40,旧【线下签售】前2000张,99812 -> 99843,-31
2026-05-02 18:20:28,旧【线下签售】前2000张,99843 -> 99812,31
2026-05-02 18:20:41,旧【线下签售】前2000张,99812 -> 99843,-31
2026-05-02 18:29:38,旧【线下签售】前2000张,99843 -> 99812,31
2026-05-02 18:58:35,旧【线下签售】前2000张,初始库存：99812,0
2026-05-02 18:58:51,旧【线下签售】,初始库存：99999,0
2026-05-02 21:47:59,旧【线下签售】前2000张,初始库存：99812,0
