时间,商品名称,库存变化,单笔销量
2026-05-01 18:56:24,新【线下签售】前2000张,初始库存：448,0
2026-05-01 18:56:24,新【线下签售】,初始库存：95058,0
2026-05-01 18:56:37,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 18:56:49,旧【线下签售】,初始库存：99999,0
2026-05-01 19:04:13,新【线下签售】前2000张,448 -> 281,167
2026-05-01 19:12:03,新【线下签售】前2000张,281 -> 280,1
2026-05-01 19:30:00,新【线下签售】前2000张,280 -> 172,108
2026-05-01 21:18:32,新【线下签售】前2000张,172 -> 37,135
2026-05-02 14:09:00,新【线下签售】前2000张,37 -> 0,37
2026-05-02 14:09:00,新【线下签售】,95058 -> 94936,122
2026-05-03 13:50:03,新【线下签售】,94936 -> 94908,28
2026-05-03 14:02:31,新【线下签售】,94908 -> 94911,-3
2026-05-03 14:03:20,新【线下签售】,94911 -> 94908,3
2026-05-03 14:11:17,新【线下签售】,94908 -> 131072,-36164
2026-05-03 14:11:59,新【线下签售】,131072 -> 94908,36164
2026-05-03 14:14:45,新【线下签售】,94908 -> 94888,20
2026-05-03 14:16:04,新【线下签售】,94888 -> 95232,-344
