时间,商品名称,库存变化,单笔销量
2026-05-01 18:56:29,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 18:56:45,旧【线下签售】,初始库存：99999,0
2026-05-01 19:01:44,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:20,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:02:37,旧【线下签售】,初始库存：99999,0
2026-05-01 19:10:07,旧【线下签售】前2000张,初始库存：99999,0
2026-05-01 19:10:23,旧【线下签售】,初始库存：99999,0
2026-05-01 20:03:52,旧【线下签售】前2000张,99999 -> 99998,1
2026-05-01 21:16:22,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:16:35,旧【线下签售】,初始库存：99999,0
2026-05-01 21:18:36,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:18:53,旧【线下签售】,初始库存：99999,0
2026-05-01 21:46:03,旧【线下签售】前2000张,初始库存：99998,0
2026-05-01 21:45:58,新【线下签售】前2000张,初始库存：171,0
2026-05-01 21:45:58,新【线下签售】,初始库存：92327,0
